,frequency,docIDs
підкачай,1,[0]
май,6,"[0, 7, 9, 13, 14, 15]"
удар,7,"[0, 1, 5, 6, 7, 8, 10]"
накинув,6,"[0, 1, 4, 10, 12, 17]"
проклятого,5,"[0, 1, 4, 5, 8]"
ресторації,1,[0]
знавці,1,[0]
щоб,16,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
ключ,5,"[0, 4, 5, 8, 11]"
пояса,7,"[0, 1, 4, 5, 8, 9, 17]"
торохтіла,2,"[0, 4]"
навряд,4,"[0, 4, 10, 14]"
повернувшись,5,"[0, 4, 8, 9, 10]"
дивогідних,1,[0]
продасть,4,"[0, 4, 8, 12]"
посміялися,1,[0]
стирчить,1,[0]
крик,12,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 15, 17]"
стомився,2,"[0, 10]"
гудів,3,"[0, 7, 11]"
ь,3,"[0, 8, 9]"
максимальним,1,[0]
бийтеся,2,"[0, 17]"
перемігтаки,1,[0]
розібрав,4,"[0, 4, 5, 7]"
крикнула,7,"[0, 1, 4, 5, 7, 10, 17]"
розклали,2,"[0, 15]"
винен,7,"[0, 1, 4, 7, 8, 9, 10]"
всєх,1,[0]
повній,6,"[0, 1, 4, 7, 10, 17]"
старенька,8,"[0, 2, 4, 5, 7, 8, 11, 17]"
оскому,3,"[0, 8, 16]"
бічної,1,[0]
прокладали,1,[0]
на,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
розкажи,7,"[0, 4, 5, 8, 9, 10, 17]"
розкуркулені,1,[0]
попало,1,[0]
тям,1,[0]
меча,4,"[0, 1, 5, 17]"
приноровитися,1,[0]
тиха,12,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 13, 15, 17]"
лезо,1,[0]
симфонію,3,"[0, 3, 10]"
всякім,1,[0]
шаліли,2,"[0, 7]"
ловлі,1,[0]
тічок,2,"[0, 12]"
отих,7,"[0, 4, 7, 8, 9, 10, 11]"
колись,16,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
стрімким,1,[0]
журливий,2,"[0, 4]"
сухо,5,"[0, 7, 9, 10, 14]"
ворожила,3,"[0, 7, 8]"
втямив,2,"[0, 10]"
місцевої,2,"[0, 10]"
схудлих,1,[0]
відгукнулось,2,"[0, 10]"
ага,10,"[0, 1, 3, 4, 5, 6, 9, 14, 15, 16]"
виноград,2,"[0, 11]"
змучилась,1,[0]
щезали,1,[0]
блаженної,1,[0]
війни,7,"[0, 1, 4, 5, 10, 11, 12]"
зітхнувши,6,"[0, 4, 7, 9, 12, 16]"
констррукттор,1,[0]
трипіллі,1,[0]
поблизу,5,"[0, 4, 5, 7, 10]"
клює,3,"[0, 8, 17]"
стрибками,1,[0]
сміятись,6,"[0, 4, 6, 8, 10, 17]"
розпалювали,2,"[0, 10]"
дим,13,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17]"
оцією,2,"[0, 17]"
згадку,3,"[0, 4, 15]"
цією,6,"[0, 6, 10, 11, 14, 17]"
навіжені,1,[0]
невимовного,1,[0]
станіолю,1,[0]
розійшлась,3,"[0, 4, 17]"
закрутивши,3,"[0, 8, 9]"
заціловував,1,[0]
бог,16,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
підіймався,4,"[0, 10, 12, 15]"
право,13,"[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17]"
слєдовать,1,[0]
всяке,6,"[0, 4, 5, 7, 14, 16]"
прояснився,1,[0]
лікарі,1,[0]
натовп,6,"[0, 6, 7, 10, 11, 12]"
насупивши,4,"[0, 4, 5, 17]"
заночували,2,"[0, 17]"
привіз,6,"[0, 4, 5, 7, 10, 16]"
камінцям,1,[0]
пін,1,[0]
вирятують,1,[0]
зате,12,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 15, 16, 17]"
примовляючи,2,"[0, 4]"
запасних,1,[0]
центр,3,"[0, 8, 10]"
рознесли,4,"[0, 4, 8, 17]"
повиводять,1,[0]
зробить,11,"[0, 1, 4, 5, 7, 8, 10, 11, 13, 16, 17]"
скубти,1,[0]
дало,4,"[0, 1, 4, 13]"
поправляє,1,[0]
пристосовується,1,[0]
міцну,2,"[0, 10]"
полозків,2,"[0, 4]"
безперервної,1,[0]
хлопчина,3,"[0, 7, 11]"
повторюючи,1,[0]
кинутись,4,"[0, 4, 15, 17]"
марші,2,"[0, 7]"
бетонові,1,[0]
схопила,2,"[0, 15]"
напнулись,2,"[0, 14]"
ловила,1,[0]
колонії,2,"[0, 7]"
аматори,1,[0]
нетрі,3,"[0, 10, 13]"
сирої,3,"[0, 4, 5]"
субтропічний,1,[0]
велетенськими,2,"[0, 10]"
пеклисушили,1,[0]
зітхнула,8,"[0, 4, 7, 10, 12, 14, 15, 17]"
американське,2,"[0, 10]"
документів,3,"[0, 4, 10]"
земляки,2,"[0, 5]"
загупало,1,[0]
намір,5,"[0, 1, 7, 10, 11]"
царства,5,"[0, 4, 5, 8, 10]"
запалив,5,"[0, 4, 7, 8, 10]"
щастіння,1,[0]
стародавній,2,"[0, 1]"
інженером,1,[0]
літака,1,[0]
загнуздали,1,[0]
зібгав,4,"[0, 2, 10, 11]"
лізеш,5,"[0, 4, 7, 8, 16]"
пнулися,1,[0]
зала,1,[0]
ґанок,3,"[0, 8, 12]"
звичайні,4,"[0, 7, 8, 10]"
шинкою,1,[0]
одежі,10,"[0, 1, 3, 4, 5, 7, 9, 10, 11, 15]"
йому,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
ноиенькі,1,[0]
водяній,3,"[0, 9, 17]"
помічали,1,[0]
побити,4,"[0, 4, 7, 11]"
шерстю,3,"[0, 5, 11]"
страстяні,1,[0]
недорід,1,[0]
стрілецькі,1,[0]
додаючи,5,"[0, 1, 7, 10, 15]"
лісах,6,"[0, 1, 10, 11, 15, 17]"
надзвичайне,3,"[0, 10, 14]"
бритва,5,"[0, 1, 4, 10, 13]"
розкрила,3,"[0, 4, 9]"
аввакума,1,[0]
похід,5,"[0, 1, 10, 11, 15]"
простяг,7,"[0, 1, 3, 4, 5, 12, 15]"
лишився,5,"[0, 1, 7, 10, 11]"
жайворонками,1,[0]
дано,6,"[0, 4, 5, 6, 10, 11]"
злякаєш,1,[0]
шапка,7,"[0, 4, 5, 7, 8, 9, 17]"
напосядуть,1,[0]
покиненім,1,[0]
замалим,1,[0]
пантачі,1,[0]
малагу,1,[0]
загорнув,3,"[0, 10, 12]"
петровичу,2,"[0, 16]"
напудрувалися,1,[0]
трамтрамтарарам,1,[0]
п'ятидесятиступневому,1,[0]
соколамихлопцями,1,[0]
видушити,2,"[0, 10]"
оглядки,1,[0]
варять,4,"[0, 5, 8, 17]"
обертається,5,"[0, 4, 5, 9, 10]"
живіт,9,"[0, 4, 7, 8, 10, 11, 12, 15, 17]"
приватна,2,"[0, 7]"
птах,6,"[0, 7, 8, 11, 13, 15]"
лягаючи,5,"[0, 4, 8, 10, 15]"
дібравши,1,[0]
науки,8,"[0, 1, 4, 7, 8, 10, 11, 16]"
відвантажувати,1,[0]
достигав,1,[0]
кухлику,3,"[0, 5, 11]"
дебелої,1,[0]
всередині,9,"[0, 1, 4, 7, 8, 10, 11, 12, 15]"
буфету,1,[0]
хворе,4,"[0, 9, 12, 14]"
потягне,3,"[0, 5, 7]"
дбайливою,1,[0]
ворсклу,2,"[0, 11]"
вивів,7,"[0, 5, 8, 10, 11, 12, 17]"
трагедійні,1,[0]
панів,8,"[0, 2, 4, 5, 7, 8, 11, 17]"
смерканні,1,[0]
квітах,3,"[0, 8, 12]"
оленячій,2,"[0, 10]"
дурі,1,[0]
змісту,2,"[0, 10]"
попереднього,1,[0]
символ,2,"[0, 10]"
аварійної,1,[0]
гнус,1,[0]
безмежнім,1,[0]
смалять,1,[0]
порушників,1,[0]
пучечок,3,"[0, 9, 11]"
зарослих,1,[0]
голод,11,"[0, 1, 4, 7, 8, 9, 10, 11, 12, 15, 17]"
андрій,3,"[0, 10, 14]"
поразки,2,"[0, 10]"
посмалені,1,[0]
озвучуючи,1,[0]
білоруси,1,[0]
празникове,2,"[0, 4]"
катастрофічне,1,[0]
ідіть,10,"[0, 1, 4, 7, 8, 9, 10, 15, 16, 17]"
обідраними,1,[0]
волі,15,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17]"
натикано,1,[0]
розчахнуло,1,[0]
падями,1,[0]
тілі,10,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 15]"
збоку,10,"[0, 3, 4, 5, 6, 7, 8, 10, 15, 17]"
звеліла,5,"[0, 4, 5, 12, 17]"
нам,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
освітлювані,1,[0]
прогнати,4,"[0, 1, 10, 15]"
рятувати,6,"[0, 1, 4, 5, 7, 8]"
муругий,1,[0]
потубільному,1,[0]
ставлячи,2,"[0, 10]"
мапою,1,[0]
капітуляція,1,[0]
давав,11,"[0, 1, 2, 4, 5, 7, 8, 10, 12, 15, 17]"
лизав,4,"[0, 8, 12, 15]"
мовчи,10,"[0, 1, 2, 4, 5, 7, 8, 9, 16, 17]"
ніс,12,"[0, 1, 4, 5, 6, 7, 10, 11, 12, 15, 16, 17]"
вивела,3,"[0, 4, 11]"
підіймаючи,2,"[0, 17]"
надивились,1,[0]
самісінького,2,"[0, 4]"
забагато,3,"[0, 7, 10]"
вуликивулики,1,[0]
беруть,7,"[0, 1, 4, 5, 8, 10, 16]"
пір'ячко,1,[0]
товпились,3,"[0, 5, 15]"
бряжчать,4,"[0, 3, 4, 11]"
сердита,4,"[0, 4, 15, 17]"
цвіту,9,"[0, 1, 3, 5, 7, 8, 9, 10, 13]"
заставлені,2,"[0, 12]"
сакви,1,[0]
тремтів,7,"[0, 1, 4, 10, 12, 13, 15]"
шумить,9,"[0, 1, 4, 5, 8, 9, 11, 15, 17]"
дзвенить,3,"[0, 6, 15]"
заскочити,1,[0]
дедалі,6,"[0, 4, 8, 9, 10, 15]"
звідтіля,4,"[0, 4, 11, 16]"
хінгані,1,[0]
викорінювати,1,[0]
здивованими,2,"[0, 1]"
згною,1,[0]
денисівна,1,[0]
тонші,1,[0]
сіяти,5,"[0, 2, 5, 7, 8]"
хлоп'яча,2,"[0, 5]"
колима,1,[0]
похмуро,5,"[0, 6, 7, 10, 12]"
горда,8,"[0, 1, 4, 5, 7, 12, 13, 17]"
спускався,4,"[0, 4, 10, 15]"
вирішили,1,[0]
підем,4,"[0, 5, 8, 11]"
океаном,1,[0]
самець,2,"[0, 6]"
рипнув,3,"[0, 4, 12]"
озвучений,1,[0]
снопи,8,"[0, 2, 4, 5, 7, 8, 9, 17]"
притоптати,1,[0]
невеликім,1,[0]
якосьто,3,"[0, 4, 8]"
мов,17,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
побатьківському,1,[0]
вдруге,12,"[0, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17]"
гадюку,5,"[0, 5, 7, 8, 10]"
потріщав,1,[0]
мокієнчиха,1,[0]
обідом,7,"[0, 4, 5, 7, 10, 16, 17]"
парубоцькій,1,[0]
профспілчанськими,1,[0]
хутрині,1,[0]
зацитькувані,1,[0]
екземпляр,1,[0]
чужого,8,"[0, 2, 4, 7, 8, 10, 11, 17]"
кусала,3,"[0, 4, 7]"
картопля,4,"[0, 8, 12, 17]"
затопленої,1,[0]
ніяких,8,"[0, 1, 2, 5, 7, 9, 10, 11]"
пантера,1,[0]
строкатім,1,[0]
прігласіть,1,[0]
усміхом,5,"[0, 1, 4, 7, 11]"
величезними,5,"[0, 1, 7, 10, 12]"
полетіли,4,"[0, 4, 8, 17]"
прорватись,1,[0]
кохання,9,"[0, 4, 8, 9, 10, 11, 13, 14, 15]"
гік,1,[0]
марно,8,"[0, 1, 4, 5, 7, 8, 10, 13]"
гвинтівочка,1,[0]
помовчала,3,"[0, 7, 10]"
полтаву,4,"[0, 8, 11, 12]"
штуку,3,"[0, 4, 11]"
чиргикало,1,[0]
трудиться,1,[0]
зачарована,2,"[0, 9]"
слова,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]"
подумаєш,4,"[0, 4, 5, 10]"
тормосив,1,[0]
м'яч,4,"[0, 10, 14, 17]"
гони,4,"[0, 4, 5, 11]"
ухканням,1,[0]
доручення,2,"[0, 10]"
зализував,1,[0]
лізли,3,"[0, 4, 7]"
двірця,1,[0]
м'ясо,4,"[0, 1, 4, 10]"
оглядаючи,5,"[0, 1, 4, 7, 10]"
вирішати,1,[0]
зінькова,2,"[0, 5]"
яурина,1,[0]
стис,2,"[0, 1]"
вистрілила,1,[0]
шерегам,1,[0]
мордованих,2,"[0, 1]"
заїмку,1,[0]
дружина,5,"[0, 1, 8, 10, 14]"
екзотичних,1,[0]
хижих,2,"[0, 5]"
перепливе,2,"[0, 8]"
накрутила,1,[0]
підвищував,1,[0]
цікаво,6,"[0, 1, 7, 10, 15, 16]"
старив,1,[0]
підкинула,2,"[0, 7]"
хромових,1,[0]
трунків,2,"[0, 7]"
завмерши,1,[0]
подужати,3,"[0, 10, 11]"
кошиками,2,"[0, 10]"
протверезівши,1,[0]
вловимо,1,[0]
насупроти,2,"[0, 4]"
рев,3,"[0, 1, 7]"
подохли,1,[0]
епопею,2,"[0, 8]"
скрутили,4,"[0, 4, 8, 11]"
поцілунками,4,"[0, 4, 10, 17]"
купкою,2,"[0, 10]"
верболозом,1,[0]
вовтузились,1,[0]
гостями,2,"[0, 2]"
маляти,1,[0]
дріботить,1,[0]
спільноти,1,[0]
пурхають,1,[0]
кривавих,3,"[0, 5, 10]"
коштувало,4,"[0, 7, 10, 17]"
якуток,1,[0]
спека,3,"[0, 7, 10]"
нерпу,1,[0]
сонячним,4,"[0, 1, 10, 15]"
кряжу,1,[0]
підійти,3,"[0, 10, 14]"
установах,3,"[0, 7, 10]"
роз'їзди,2,"[0, 6]"
сягає,4,"[0, 1, 9, 10]"
пекельна,2,"[0, 13]"
прийшло,8,"[0, 1, 4, 5, 7, 8, 9, 11]"
вестибюлі,1,[0]
прощались,1,[0]
нетрища,1,[0]
комбінезона,1,[0]
замітці,1,[0]
викликав,5,"[0, 4, 7, 10, 14]"
рятувалась,1,[0]
вродливу,3,"[0, 4, 10]"
наробив,6,"[0, 1, 4, 5, 7, 8]"
обтяжують,1,[0]
відчувши,2,"[0, 10]"
знаменитої,1,[0]
посмішкою,2,"[0, 10]"
саме,16,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
підбилося,3,"[0, 4, 12]"
родились,3,"[0, 8, 15]"
стрельнув,2,"[0, 4]"
зубчастий,1,[0]
мап,1,[0]
провідники,1,[0]
бліду,3,"[0, 10, 15]"
обіцяла,4,"[0, 4, 7, 10]"
купами,6,"[0, 1, 5, 10, 12, 17]"
висвітлити,1,[0]
прикріше,2,"[0, 10]"
ризикувати,1,[0]
струмочків,1,[0]
вгородила,2,"[0, 8]"
шукайте,6,"[0, 4, 5, 7, 8, 16]"
вокальному,1,[0]
вишкрябана,1,[0]
гайками,1,[0]
скінчиться,5,"[0, 1, 7, 11, 16]"
розбудила,2,"[0, 8]"
гірському,1,[0]
паралелях,1,[0]
прощався,3,"[0, 4, 7]"
розметанім,1,[0]
вічнім,1,[0]
блискучу,2,"[0, 10]"
протії,1,[0]
дешевому,2,"[0, 4]"
біжать,8,"[0, 3, 4, 5, 7, 8, 12, 13]"
зроблено,2,"[0, 4]"
викликала,6,"[0, 1, 4, 7, 14, 17]"
непомітно,6,"[0, 3, 9, 10, 14, 15]"
ковніру,2,"[0, 5]"
ранньої,3,"[0, 8, 12]"
замріяною,1,[0]
прип'яли,2,"[0, 1]"
хвороби,4,"[0, 4, 11, 16]"
полювали,1,[0]
обертаючись,5,"[0, 1, 4, 10, 17]"
стихійних,1,[0]
можливе,3,"[0, 1, 10]"
висипав,3,"[0, 4, 10]"
допливів,1,[0]
взутих,1,[0]
наколола,1,[0]
поналипали,1,[0]
живеться,2,"[0, 4]"
камінних,2,"[0, 10]"
панянки,1,[0]
нагло,6,"[0, 1, 7, 8, 10, 15]"
гостить,1,[0]
полюйте,1,[0]
веремію,1,[0]
нітаки,1,[0]
суглоб,1,[0]
бачите,11,"[0, 3, 4, 5, 8, 9, 10, 13, 14, 16, 17]"
стихії,4,"[0, 6, 10, 14]"
кимось,3,"[0, 7, 14]"
ляльки,3,"[0, 4, 10]"
кедрів,1,[0]
нашорошено,1,[0]
для,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
бдітєльность,1,[0]
бувши,7,"[0, 1, 4, 5, 8, 10, 11]"
лиш,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 15, 16, 17]"
мисливські,1,[0]
розвиднялось,2,"[0, 4]"
чотиримоторових,1,[0]
відчувати,2,"[0, 10]"
цікавиться,2,"[0, 14]"
баріться,3,"[0, 4, 17]"
хороший,6,"[0, 1, 4, 8, 9, 11]"
бурмотів,1,[0]
згоджувався,4,"[0, 4, 7, 10]"
мотається,2,"[0, 4]"
терпіння,2,"[0, 7]"
сохатий,1,[0]
задирчить,1,[0]
смерти,4,"[0, 1, 8, 13]"
простояв,1,[0]
дивну,4,"[0, 1, 10, 15]"
остинками,1,[0]
ентузіазм,1,[0]
било,7,"[0, 1, 5, 7, 11, 15, 17]"
жаху,8,"[0, 3, 5, 7, 10, 11, 13, 15]"
мовчиш,8,"[0, 4, 7, 9, 10, 11, 14, 16]"
перемогти,2,"[0, 10]"
вони,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
лоботряси,1,[0]
україни,7,"[0, 4, 5, 8, 10, 11, 14]"
приготовлене,1,[0]
незаперечним,2,"[0, 10]"
літала,4,"[0, 4, 7, 17]"
четверо,8,"[0, 4, 5, 7, 10, 11, 12, 17]"
прозорим,3,"[0, 10, 15]"
нарізну,1,[0]
героїчні,3,"[0, 8, 10]"
оббило,1,[0]
зараз,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
молодець,7,"[0, 1, 4, 5, 8, 9, 10]"
коротку,2,"[0, 10]"
обрусів,1,[0]
шолом,3,"[0, 1, 11]"
якяк,1,[0]
твариною,1,[0]
стовбурі,1,[0]
пекельну,2,"[0, 1]"
безжурною,1,[0]
смерть,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
з,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
погнало,4,"[0, 4, 7, 8]"
людині,4,"[0, 4, 10, 11]"
прибігли,6,"[0, 1, 4, 5, 8, 17]"
заслонившись,1,[0]
зід,1,[0]
сходиться,2,"[0, 7]"
змагалась,1,[0]
дитячою,2,"[0, 12]"
кістками,5,"[0, 1, 3, 4, 5]"
залишилась,1,[0]
почалося,5,"[0, 4, 5, 10, 11]"
бочки,5,"[0, 4, 5, 10, 11]"
святковім,1,[0]
приїжджих,2,"[0, 10]"
правил,2,"[0, 10]"
благословлять,4,"[0, 1, 7, 11]"
нетрів,1,[0]
величезнім,2,"[0, 1]"
річок,2,"[0, 11]"
лаятись,3,"[0, 4, 17]"
устаткований,1,[0]
спілі,1,[0]
дубельтівку,1,[0]
рішуче,5,"[0, 1, 6, 7, 10]"
жалке,1,[0]
давендавен,1,[0]
неетапний,1,[0]
слові,10,"[0, 1, 4, 5, 7, 9, 10, 11, 14, 17]"
спокійне,4,"[0, 1, 10, 15]"
знічев'я,2,"[0, 10]"
восьмий,2,"[0, 10]"
тамбур,1,[0]
їстимете,1,[0]
к,10,"[0, 1, 4, 5, 8, 9, 10, 11, 14, 16]"
малесенькій,2,"[0, 8]"
пасажир,1,[0]
череп'яні,1,[0]
одказу,1,[0]
сторінки,3,"[0, 3, 10]"
припав,5,"[0, 4, 5, 10, 12]"
виїмковім,1,[0]
мусять,6,"[0, 1, 3, 7, 10, 15]"
витягнуті,1,[0]
затискаючії,1,[0]
каторжанського,1,[0]
протер,4,"[0, 7, 10, 12]"
тунгузька,1,[0]
репетувало,1,[0]
чім,8,"[0, 1, 4, 5, 7, 10, 11, 12]"
берізки,1,[0]
хрест,12,"[0, 2, 4, 6, 7, 8, 9, 10, 11, 14, 16, 17]"
працювала,5,"[0, 4, 7, 8, 10]"
молодими,5,"[0, 1, 7, 8, 15]"
виступав,5,"[0, 1, 8, 10, 15]"
забутого,1,[0]
зважають,2,"[0, 10]"
дурний,11,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 13, 16]"
б'ються,3,"[0, 5, 17]"
сходу,7,"[0, 1, 2, 6, 7, 8, 10]"
дівочому,2,"[0, 5]"
головного,4,"[0, 1, 10, 14]"
бахкає,1,[0]
бальзака,1,[0]
поставили,7,"[0, 1, 4, 5, 7, 8, 11]"
букси,1,[0]
собаку,7,"[0, 1, 4, 5, 7, 8, 17]"
дурень,12,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
носи,6,"[0, 4, 8, 11, 12, 17]"
розплющити,1,[0]
розмов,2,"[0, 10]"
зібрав,9,"[0, 4, 6, 7, 8, 9, 10, 16, 17]"
п'янів,1,[0]
зеленавосиньому,1,[0]
міщанства,1,[0]
гілляччя,1,[0]
камчатці,1,[0]
підходив,6,"[0, 4, 7, 10, 12, 14]"
писати,7,"[0, 4, 5, 7, 8, 10, 14]"
наморочилось,1,[0]
рухати,2,"[0, 10]"
салонвагон,1,[0]
безжалісний,1,[0]
вилетіли,4,"[0, 1, 7, 9]"
рістні,1,[0]
синкуї,1,[0]
натиском,5,"[0, 4, 7, 10, 14]"
бряжчало,3,"[0, 15, 17]"
гавкав,1,[0]
кубанку,1,[0]
кирпиченки,1,[0]
дочок,3,"[0, 4, 5]"
бур'янища,1,[0]
звертаючи,5,"[0, 1, 4, 7, 10]"
набряклі,1,[0]
виступив,10,"[0, 1, 4, 5, 7, 8, 10, 12, 15, 17]"
їхав,10,"[0, 1, 2, 4, 5, 7, 8, 11, 16, 17]"
братиме,2,"[0, 10]"
намагаючись,3,"[0, 10, 15]"
падь,1,[0]
заслонилась,1,[0]
тонюнько,1,[0]
козолуп,1,[0]
настрій,6,"[0, 1, 3, 7, 10, 15]"
роздумав,1,[0]
імпотентні,1,[0]
навчу,3,"[0, 5, 7]"
підкочувалось,1,[0]
несподіванкою,1,[0]
поступилась,1,[0]
тілький,1,[0]
ціни,6,"[0, 4, 5, 8, 10, 17]"
кілометр,1,[0]
країна,3,"[0, 1, 8]"
пошукували,1,[0]
квасолину,1,[0]
прекрасна,5,"[0, 7, 8, 10, 14]"
більшу,5,"[0, 1, 4, 7, 10]"
розпластавшись,1,[0]
тобі,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
дійсності,4,"[0, 7, 8, 10]"
гарячковими,1,[0]
бухти,1,[0]
плюскотить,1,[0]
темпі,1,[0]
півдоби,2,"[0, 10]"
простує,1,[0]
димили,1,[0]
домашнє,2,"[0, 7]"
поздавати,1,[0]
безбородий,1,[0]
торосами,1,[0]
соколи,4,"[0, 1, 8, 17]"
зраділи,4,"[0, 4, 5, 8]"
плечах,13,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 17]"
віччю,2,"[0, 4]"
стьожку,4,"[0, 5, 8, 10]"
спасівку,3,"[0, 16, 17]"
люлькою,3,"[0, 4, 8]"
посланці,2,"[0, 5]"
козли,1,[0]
говорить,12,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17]"
завітає,2,"[0, 1]"
ведмідь,5,"[0, 4, 5, 11, 15]"
вилетів,2,"[0, 17]"
напружена,1,[0]
мистецьки,1,[0]
кави,2,"[0, 10]"
стероризованого,1,[0]
губилася,2,"[0, 7]"
госспірту,1,[0]
незчисленні,2,"[0, 5]"
грамота,5,"[0, 1, 4, 5, 16]"
напитись,5,"[0, 4, 5, 8, 17]"
пробайкальським,1,[0]
заряджай,1,[0]
відкорковані,1,[0]
приніс,9,"[0, 4, 5, 7, 10, 11, 12, 16, 17]"
розпучливішим,1,[0]
цькований,1,[0]
королівські,1,[0]
суд,9,"[0, 1, 4, 5, 7, 8, 11, 16, 17]"
крижаний,1,[0]
пам'ятаю,6,"[0, 6, 10, 14, 15, 16]"
кидати,7,"[0, 1, 4, 5, 7, 12, 17]"
ініціативу,2,"[0, 14]"
аввакум,1,[0]
набрів,2,"[0, 14]"
сюди,15,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
зупиниться,3,"[0, 4, 5]"
ноту,4,"[0, 2, 10, 14]"
табором,3,"[0, 1, 8]"
накомарників,1,[0]
природної,3,"[0, 1, 17]"
недалекий,1,[0]
спасибі,12,"[0, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
чомусь,11,"[0, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14]"
обливались,1,[0]
білого,11,"[0, 1, 4, 7, 8, 9, 10, 11, 12, 15, 17]"
тут,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
зайнявши,1,[0]
вівці,7,"[0, 4, 7, 10, 15, 16, 17]"
набік,9,"[0, 4, 5, 7, 8, 12, 15, 16, 17]"
новітніх,1,[0]
заїздок,1,[0]
мруть,3,"[0, 4, 8]"
байдужістю,2,"[0, 10]"
греба,1,[0]
геттю,1,[0]
безвихідна,2,"[0, 6]"
парфумами,1,[0]
нами,13,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 16, 17]"
горсовета,1,[0]
привертали,1,[0]
нікельових,1,[0]
вовча,2,"[0, 4]"
сховані,2,"[0, 10]"
високу,7,"[0, 4, 5, 7, 8, 10, 17]"
кидається,6,"[0, 1, 4, 9, 16, 17]"
робітників,5,"[0, 1, 7, 10, 14]"
капкані,1,[0]
незнаним,1,[0]
бігу,5,"[0, 1, 4, 7, 15]"
ач,4,"[0, 4, 8, 10]"
погрожував,1,[0]
слухай,15,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17]"
стежка,9,"[0, 1, 7, 8, 9, 10, 11, 15, 17]"
заломлювала,1,[0]
своєрідний,2,"[0, 7]"
прохання,3,"[0, 4, 10]"
безвідчитну,1,[0]
вати,1,[0]
пекельного,1,[0]
подія,3,"[0, 1, 7]"
пристановище,3,"[0, 1, 10]"
підпертого,1,[0]
припікати,2,"[0, 7]"
опівночі,7,"[0, 5, 6, 7, 8, 11, 17]"
енергійного,1,[0]
мотлох,2,"[0, 10]"
ріці,3,"[0, 8, 15]"
поруч,13,"[0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17]"
потоптану,1,[0]
наймевше,1,[0]
тримаючись,3,"[0, 12, 15]"
тюрмах,2,"[0, 8]"
білять,1,[0]
кладучи,2,"[0, 10]"
люстрами,1,[0]
вигоряють,1,[0]
красуня,2,"[0, 10]"
голоспинних,1,[0]
оскільки,3,"[0, 7, 11]"
лапатий,1,[0]
дев'ятий,2,"[0, 8]"
адресу,4,"[0, 8, 10, 14]"
обідали,3,"[0, 4, 5]"
полюванні,1,[0]
боєм,2,"[0, 4]"
психозом,1,[0]
